                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3557,                 1.2424,                  1.343,                0.64828,                0.58839,                0.58662,                0.30181,                 1.5734,                 1.5969,                 1.8228,               0.008878,               0.008878,               0.008878
                     37,                 1.3292,                 1.2082,                 1.3033,                0.62507,                0.65103,                0.59013,                 0.3223,                 1.5016,                 1.5253,                 1.7923,               0.008845,               0.008845,               0.008845
                     38,                 1.2932,                 1.2009,                 1.3163,                 0.6852,                0.65472,                0.64507,                0.38459,                 1.4226,                 1.3919,                 1.7031,               0.008812,               0.008812,               0.008812
                     39,                 1.2735,                  1.167,                  1.303,                0.68457,                0.63325,                0.60072,                0.33989,                 1.4643,                 1.4499,                 1.7008,               0.008779,               0.008779,               0.008779
                     40,                 1.2838,                 1.1435,                 1.3065,                0.68804,                0.62848,                 0.6122,                0.35015,                 1.5311,                  1.435,                 1.7613,               0.008746,               0.008746,               0.008746
                     41,                 1.2643,                 1.1392,                 1.2875,                0.48563,                0.61741,                 0.3877,                0.19536,                 1.5897,                    nan,                 1.8672,               0.008713,               0.008713,               0.008713
                     42,                 1.2616,                 1.1534,                 1.2849,                0.72188,                0.68486,                0.66706,                0.37239,                 1.4142,                 1.4486,                 1.6898,                0.00868,                0.00868,                0.00868
                     43,                 1.2835,                 1.1273,                 1.2973,                0.62843,                0.58575,                0.59831,                0.32266,                  1.534,                 1.4831,                 1.7878,               0.008647,               0.008647,               0.008647
                     44,                 1.2344,                 1.1112,                 1.2851,                0.71263,                0.62159,                 0.6395,                0.37065,                 1.4319,                 1.4712,                 1.7216,               0.008614,               0.008614,               0.008614
                     45,                 1.2558,                 1.1162,                    1.3,                0.56065,                0.63852,                0.55868,                0.31001,                 1.4581,                 1.5137,                 1.7263,               0.008581,               0.008581,               0.008581
                     46,                 1.2866,                 1.1743,                 1.2995,                0.70766,                0.65148,                0.65929,                0.38925,                 1.4181,                 1.3932,                    1.7,               0.008548,               0.008548,               0.008548
                     47,                 1.2632,                  1.108,                 1.2911,                0.65365,                0.66491,                0.64198,                0.39582,                 1.3039,                 1.3521,                 1.6117,               0.008515,               0.008515,               0.008515
                     48,                 1.2286,                 1.1195,                 1.2949,                0.72558,                0.69921,                0.69126,                0.42255,                 1.3595,                 1.3001,                 1.6405,               0.008482,               0.008482,               0.008482
                     49,                 1.2301,                  1.084,                 1.2742,                0.75037,                0.69795,                0.66985,                0.41117,                 1.3436,                 1.3537,                 1.6115,               0.008449,               0.008449,               0.008449
                     50,                 1.2083,                 1.0763,                 1.2712,                0.64543,                0.67018,                0.60456,                0.35548,                  1.342,                 1.4543,                 1.6319,               0.008416,               0.008416,               0.008416
                     51,                 1.2501,                 1.0988,                 1.2906,                0.73798,                0.59451,                0.62797,                0.36722,                 1.6163,                 1.4217,                 1.8733,               0.008383,               0.008383,               0.008383
                     52,                 1.2563,                 1.1263,                 1.2708,                0.76653,                0.57256,                0.60957,                0.37975,                 1.4894,                 1.4869,                 1.8067,                0.00835,                0.00835,                0.00835
                     53,                 1.2251,                  1.105,                 1.2786,                0.69839,                0.63539,                0.63715,                 0.3721,                 1.4086,                 1.3207,                 1.6817,               0.008317,               0.008317,               0.008317
                     54,                 1.2078,                  1.107,                 1.2691,                0.65012,                0.56871,                0.58156,                0.36386,                 1.4852,                 1.4501,                 1.7658,               0.008284,               0.008284,               0.008284
                     55,                 1.2147,                 1.1018,                 1.2652,                0.74156,                0.65111,                0.67566,                0.42808,                 1.2915,                 1.3269,                 1.5869,               0.008251,               0.008251,               0.008251
                     56,                 1.2003,                 1.0675,                 1.2668,                0.71044,                0.67975,                  0.694,                0.43742,                 1.3265,                 1.2634,                 1.6141,               0.008218,               0.008218,               0.008218
                     57,                 1.2504,                  1.098,                 1.2915,                0.63969,                0.64176,                0.62704,                0.35933,                 1.4257,                 1.4332,                 1.6872,               0.008185,               0.008185,               0.008185
                     58,                 1.2302,                 1.0969,                 1.2737,                0.70076,                0.67018,                0.65563,                0.38145,                 1.3411,                  1.352,                 1.6478,               0.008152,               0.008152,               0.008152
                     59,                 1.2011,                 1.0749,                 1.2806,                0.77865,                 0.5752,                0.63407,                0.38704,                 1.4368,                 1.4472,                 1.7477,               0.008119,               0.008119,               0.008119
                     60,                 1.1538,                 1.0067,                 1.2276,                0.71976,                0.68447,                0.68869,                 0.4361,                  1.328,                 1.4038,                 1.6369,               0.008086,               0.008086,               0.008086
                     61,                 1.1915,                 1.0401,                 1.2724,                0.72539,                0.65435,                 0.6802,                0.42911,                 1.3294,                 1.2985,                 1.6525,               0.008053,               0.008053,               0.008053
                     62,                 1.1807,                  1.044,                 1.2551,                0.67118,                0.60422,                0.58994,                0.33177,                 1.5006,                 1.4057,                 1.6903,                0.00802,                0.00802,                0.00802
                     63,                 1.1964,                 1.0348,                 1.2575,                 0.7002,                0.67787,                0.66163,                0.37242,                 1.3818,                  1.372,                 1.6057,               0.007987,               0.007987,               0.007987
                     64,                 1.1979,                 1.0577,                  1.243,                0.75356,                0.71768,                0.70496,                 0.4346,                 1.2671,                  1.219,                 1.5523,               0.007954,               0.007954,               0.007954
                     65,                 1.1707,                 1.0429,                  1.238,                0.77046,                0.67018,                0.69844,                0.44601,                 1.3405,                 1.2133,                 1.6231,               0.007921,               0.007921,               0.007921
                     66,                 1.2012,                 1.0591,                 1.2599,                0.71906,                0.69129,                0.69114,                0.43821,                 1.2466,                 1.2902,                 1.5841,               0.007888,               0.007888,               0.007888
                     67,                 1.1602,                 1.0313,                 1.2477,                0.63315,                0.67398,                0.62478,                0.37104,                 1.3318,                 1.4054,                 1.6275,               0.007855,               0.007855,               0.007855
